Nome original;Nome traduzido;Gênero;País;Ocupação;Mini‑biografia e observações
Vladimir PLAHOTNIUC;Vladimir Plahotniuc;Masculino;Moldávia;Bilionário & ex-chefe político;"Ex-líder do Partido Democrático. Acusado de orquestrar o escândalo “Theft of the Century” (desvio de US $1 bi dos bancos), fraude, lavagem de dinheiro e organização criminal. Fugiu em 2019; foi sancionado pelos EUA em 2022 e pela UE. Detido na Grécia em julho de 2025 sob alerta da Interpol. State.govBalkan InsightReutersReutersU.S. Department of the Treasury"
Andriy Volodymyrovych PORTNOV;Andriy Volodymyrovych Portnov;Masculino;Ucrânia;Ex-advogado & oficial da era Yanukovich;Sanções da UE (2014‑15) e dos EUA (desde 2021) por corrupção e influência indevida sobre sistema judicial ucraniano durante o Euromaidán. Assassinato em maio 2025 em Madrid. en.wikipedia.orgReutersSANCTIONS WATCHcadenaser.comliga.net
Waad QADO;Waad Qado;—;—;—;Nenhum registro público identificável em bases acessíveis.
Apollo Carreon QUIBOLOY;Apollo Carreon Quiboloy;Masculino;Filipinas;Pastor & líder religioso;Autoproclamado “Filho de Deus”. Sanção dos EUA (dez 2022) por tráfico sexual, trabalho forçado e abuso infantil. Indiciado pelo DOJ, investigado por sequestro de vítimas menores. Human Rights Firstfbi.govsanctions.lursoft.lv
Radovan RADIC;Radovan Radic;Masculino;Sérvia/Kosovo;—;Acusado de assassinar policial kosovar em 2011. Foi detido e posteriormente absolvido ou sem julgamento claro por falta de provas. telegrafi.comBalkan Insight
Miljan RADISAVLJEVIC;Miljan Radisavljević;Masculino;Sérvia / Kosovo;Empresário / membro de organização criminosa;Sanções dos EUA (Global Magnitsky, dez 2021) por atuar em apoio direto ao grupo criminoso de Zvonko Veselinović — envolvido em tráfico, subornos, contratos ilícitos e assassinato político Busca de SançõesFederal Register, 7Controle de Ativos Estrangeiros, 7SANCTIONS WATCH, 7.
Miljojko RADISAVLJEVIC;Miljojko Radisavljević;Masculino;Sérvia / Kosovo;Empresário / membro da OCG;Sanções em 2021 por envolvimento direto com o grupo de Veselinović, acusado de corrupção, suborno e facilitação de crimes transnacionais Controle de Ativos EstrangeirosU.S. Department of the Treasury.
Milan Rajko RADOJCIC;Milan Rajko Radojčić;Masculino;Kosovo / Sérvia;Político / empresário / líder armado;"Adicionado à lista SDN dos EUA em 8 dez 2021; acusado pela justiça kosovar de terrorismo, financiamento de ataques e crimes de guerra, incluindo ataque armado em Banjska (set 2023) e responsabilizado por assassinato político de líder Oliver Ivanović Controle de Ativos Fontes: Estrangeiros Wikipedia."
Ajmal RAHMANI;Ajmal Rahmani;Masculino;Kosovo;Associado à organização criminosa OCG;"Sanções dos EUA em dez 2021 por serviços financeiros e materiais ao grupo Veselinović; implicado em corrupção e envolvimento no assassinato de Ivanović SANCTIONS WATCHU.S. Department of the Fontes: Treasurybalkaninsight.com."
Mir Rahman RAHMANI;Mir Rahman Rahmani;Masculino;Kosovo / Sérvia;Empresário / membro da OCG;Sanções em 2021 por envolvimento com a rede de corrupção de Veselinović que facilitou tráfico e crimes organizados entre Kosovo e Sérvia Controle de Ativos EstrangeirosU.S. Department of the Treasury.
Martha Carolina RECINOS DE BERNAL;Martha Carolina Recinos de Bernal;Masculino;Sérvia;Empresário / diretor;Sanções dos EUA em 9 dez 2019 por atuar em nome de Slobodan Tešić, facilitando exportação ilegal de armas em ligação a políticos africanos U.S. Department of the Treasury.
Roberto Jose RIVAS REYES;Roberto José Rivas Reyes;Masculino;Sérvia;Empresário / diretor;Sanções em 9 dez 2019 por envolvimento em rede de tráfico de armas de Tešić, acusado de subornar autoridades para facilitar operações ilícitas U.S. Department of the Treasury.
Allan Estuardo RODRIGUEZ REYES;Allan Estuardo Rodríguez Reyes;—;—;—;Perfil não encontrado em registros públicos ou listas de sanções.
Felix Ramon Bautista ROSARIO;Felix Ramon Bautista Rosario;Masculino;República Dominicana;—;Nenhuma informação pública relevante ou presente em sanções reconhecidas.
Marko ROSIC;Marko Rošić;Feminino;Guatemala?;—;"Sem perfil verificável em fontes públicas; provável pessoa privada ou sem notoriedade internacional."
Ziyad SABSABI;Ziyad Sabsabi;Masculino;Síria / Rússia;Ex-senador da Federação Russa pela Chechênia;Serviu como senador de 2008 a 2019. Foi representante plenipotenciário da República da Chechênia sob Putin. Não há registros públicos de sanções ou envolvimentos criminais. Wikipedia
Roberto SANDOVAL CASTANEDA;Roberto Sandoval Castañeda;Masculino;México;Ex-governador de Nayarit (2011–2017);"Acusado de corrupção massiva, vínculos com cartéis como CJNG e Beltrán Leyva. Sanções dos EUA (2019) sob Kingpin Act e Magnitsky; banido de vistos americanos desde 2020. Preso em 2021 por lavagem de dinheiro. WikipediaSANCTIONS WATCHU.S. Department of the Treasury"
Lidy Alejandra SANDOVAL LOPEZ;Lidy Alejandra Sandoval López;Feminino;México;Filha de Roberto Sandoval;Sancionada pelos EUA como agente indireta do pai, controlando ativos obtidos por corrupção, com contas bancárias bloqueadas. SANCTIONS WATCHBusca de Sanções
Pablo Roberto SANDOVAL LOPEZ;Pablo Roberto Sandoval López;Masculino;México;Filho de Roberto Sandoval;"Também sancionado sob Magnitsky por atuar para interesses do pai; ativos congelados. SANCTIONS WATCHBusca de Sanções"
Raj Vaya SANJAY;Raj Vaya Sanjay;Masculino;Quênia / Zimbábue;Financiador de rede de ouro;Sanção Global Magnitsky (2024) por apoiar Kamlesh Pattni em esquema de contrabando de ouro e lavagem de dinheiro no Zimbábue. ofac.treasury.govU.S. Department of the Treasuryfsrc.kn
Nebojsa SARENAC;Nebojsa Sarenac;Masculino;Bósnia e Herzegovina (ex-Iugoslávia);Ex-jogador de basquete juvenil;Atleta que participou do Eurobasket sub-18 em 1995. Sem registro de envolvimentos criminais ou sanções. fiba.basketballbasketball.eurobasket.com
Elias SEGUJJA;Elias Segujja;Masculino;Uganda;Ex-comandante rebelde ADF;Conhecido como “Fezza”, líder militar nas Allied Democratic Forces no Congo. Responsável por massacres de civis e ataques terroristas. historica.fandom.compt.wikipedia.org
Mukhtar Hamid SHAH;Mukhtar Hamid Shah;Masculino;Paquistão;Cirurgião / traficante de órgãos;Especialista em transplantes, envolvido em sequestro e retirada de rins de trabalhadores pobres. Sanção Global Magnitsky desde 2017. govinfo.govU.S. Department of the Treasury
Harry Varney Gboto-Nambi SHERMAN;Harry Varney Gboto‑Nambi Sherman;Masculino;Libéria;Político, ex-presidente do Unity Party;Político liberal de destaque, sancionado pela OFAC. Sem envolvimento criminal público documentado além das restrições de sanções. Wikipedia
Eddy Manuel SIERRA ARIAS;Eddy Manuel Sierra Arias;Masculino;Cuba;—;Pesquisa não identificou perfil público relevante ou sanções para esse nome ou “Eddy Manuel Sierra Arias”. Possíveis dados incorretos ou figura privada.
Swetang SINHA;Swetang Sinha;Masculino;Índia / Zimbábue;CEO / executivo da Sun Multinational DMCC;Sanção dos EUA (dez 2024) sob Global Magnitsky por apoiar esquema de contrabando de ouro em Zimbábue ligado a Kamlesh Pattni e envolvimento em corrupção associada ao presidente Mnangagwa Facebook, 8Controle de Ativos Estrangeiros, 8Zimlive, 8.
Rahul SOOD;Rahul Sood;Masculino;Índia / Zimbábue;Managing Director na rede de empresas de Pattni;Sanção dos EUA (dez 2024) por atuar como gestor-chave de empresas usadas no esquema global de tráfico de ouro e lavagem de dinheiro Controle de Ativos EstrangeirosThe Exchange Africa.
Khin Maung SOE;Khin Maung Soe;Masculino;Mianmar;Ministro de Energia Elétrica (2011–2016);Ex‑funcionário do gabinete de Thein Sein. Não há sanções conhecidas, proximidade política com período de transição. Fontes: Wikipedia.
Maung Maung SOE;Maung Maung Soe;Masculino;Mianmar;General, Comandante do Oeste (Rakhine);Sanções dos EUA, Canadá, EU e Austrália desde 2017 por liderar operações brutais contra os rohingya, incluindo matanças, estupros e destruição de vilas — definida como limpeza étnica pelo ONU Fontes: Wikipedia.
Kim SOPHARY;Kim Sophary (nome 'SOPHARY, Kim');—;Camboja;—;Sem perfil público ou registros de sanções disponíveis.
Tofayel Mustafa SORWAR;Tofayel Mustafa Sorwar (SORWAR, Tofayel Mustafa);Masculino?;Bangladesh / Iêmen?;—;Nenhuma informação pública confiável encontrada.
Romarico Vidal SOTOMAYOR GARCIA;Romarico Vidal Sierra Arias (Sierra Arias, Eddy Manuel);Masculino;Cuba;Vice‑diretor da PNR;Sanção dos EUA (agosto 2021) como vice-diretor da Polícia Nacional Revolucionária (PNR), envolvido na repressão violenta aos protestos de julho de 2021 em Cuba internationaltradeinsights.comvoanews.com.
Radule STEVIC;Radule Stević (STEVIC, Radule);Masculino;Sérvia;—;"Perfil não encontrado em bases públicas relevantes; sem sanções identificadas."
Milan SUBOTIC;Milan Subotić (SUBOTIC, Milan);Masculino;Sérvia;—;"Não localizado em fontes públicas confiáveis; ausência de notoriedade."
Jinlong SUN;Sun Jinlong (SUN, Jinlong);Masculino;China;—;"Nome genérico; sem dados públicos associáveis ou sanções registradas."
Kudakwashe Regimond TAGWIREI;Kudakwashe Regimond Tagwirei;Masculino;Zimbábue (s/n);Empresário, fundador da Sakunda Holdings;"Sanções dos EUA desde agosto de 2020 por corrupção, favorecimento político e desvio de recursos através de contratos com o governo de Mnangagwa. Acusado de acumular ganhos ilícitos no programa Command Agriculture (US$ 280 mi em excedentes estimados). Complementarmente sancionado pelo Reino Unido em 2021. (turn0search2; turn0search44; turn0search48)"
Asher Walter TAPFUMANEYI;Asher Walter Tapfumaneyi;Masculino;Zimbábue;Vice‑Diretor‑Geral da Inteligência Central (CIO);"Designado pela OFAC em mar 2024 sob Global Magnitsky por envolvimento em sequestros e ações repressivas direcionadas ao processo eleitoral de 2023. Figura-chave no aparato represor de Mnangagwa. (turn0search6; turn0search9; turn0search13)"
Vinh TEA;Vinh Tea;—;Vietnã;—;Nenhum perfil público confiável encontrado no contexto de sanções ou polêmicas documentadas.
Slobodan TESIC;Slobodan Tešić Tesić / Tesic?;—;Sérvia;—;"A grafia ""Tesic, Slobodan"" aparece como anotação, mas sem dados públicos vinculados ou perfil sancionado."
Abud Stephen THIONGKOL;Abud Stephen Thiongkol;Masculino;Sudão do Sul;—;"Sem informações públicas verificadas; não localizado em bases de sanções ou investigações."
Mae Toussaint THOMAS;Mae Toussaint Thomas;Feminino;Libéria?;—;Nome não identificado em fontes públicas confiáveis ou registros de sanções.
Salah Muhammed A. TUBAIGY;Salah Muhammed al‑Tubaigy (Tubaigy);Masculino;Arábia Saudita;Médico forense, coronel das forças armadas;"Supervisor da dissecação de Jamal Khashoggi após assassinato em 2018. Condenado à morte em 2019, perdoado pela família Khashoggi em 2020. Sanções dos EUA (travel ban) por envolvimento no crime. (turn0search43; turn0search0; turn0search7)"
Erken TUNIYAZ;Erken TuniYaz;Masculino;China / Xinjiang;—;Sem perfil público verificável, não consta em sanções ou relatórios.
Bill TWEHWAY;Bill Twehway;Masculino;Camarões?;—;Nenhum registro público encontrado em fontes sustentáveis ou listas de sanções.
Vakhit USMAYEV;Vakhit Usmayev;Masculino;Rússia?;—;"Nome aparece como possível figura privada ou local; sem vínculo comprovado com sanções ou notoriedade internacional."
Jorge Estuardo VARGAS MORALES;Jorge Estuardo Vargas Morales;Masculino;Guatemala;Deputado federal;Membro do Congresso guatemalteco sancionado pelos EUA em dezembro de 2022 sob o Global Magnitsky por operar uma rede de controle de contratos e operações portuárias em proveito próprio. Acusado de suborno a membros do Congresso e uso das uniões portuárias para obter poder político e lucro. Departamento de EstadoControle de Ativos Estrangeiros, 13U.S. Department of the Treasury, 13Pibisi, 13
Mukesh Mansukhlal VAYA;Mukesh Mansukhlal Vaya;Masculino;Quênia / Emirados Árabes;Empresário envolvido em esquema de ouro;Sanções dos EUA e Reino Unido em dezembro de 2024 por seu papel em rede de contrabando e lavagem de ouro do Zimbábue, vinculada a Kamlesh Pattni. Controle de Ativos EstrangeirosFederal RegisterMayer Brown
Sanjay Keshavji VAYA;Sanjay Keshavji Vaya;Masculino;Quênia / Zimbábue;Executivo em esquema de ouro;Inclusão na lista SDN dos EUA em dezembro de 2024 por envolvimento em lavagem de dinheiro e contrabando de ouro junto com Pattni. Controle de Ativos EstrangeirosFederal Register
Hugo Adalberto VELAZQUEZ MORENO;Hugo Adalberto Velázquez Moreno;Masculino;Paraguai;Ex-vice-presidente (2018–2023);"Sancionado pelos EUA em janeiro de 2023 por corrupção sistêmica: oferecimento de suborno de US$ 1 milhão para obstruir investigações e influência em processos legais; associado ao ex-presidente Cartes e citado por vínculos com financiamento terrorista (Hezbollah). AP News2021-2025.state.govWikipediaeditorials.voa.govAP News"
Zharko Jovan VESELINOVIC;Zharko Jovan Veselinovic;Masculino;Kosovo / Sérvia;Líder de organização criminosa;Cofundador da OCG Veselinović, sancionado pelos EUA como facilitador de contratos ilícitos, tráfico de armas, narcóticos, dinheiro e influência política em Kosovo/Serbia. U.S. Department of the TreasurySANCTIONS WATCHFederal Register
Zvonko VESELINOVIC;Zvonko Veselinovic;Masculino;Kosovo / Sérvia;Líder da OCG;Fundador e cabeça da rede criminal transnacional Veselinović, sancionado pelos EUA por corrupção sistêmica, tráfico e cooperação com oficiais de segurança. U.S. Department of the Treasurybalkaninsight.comfind-and-update.company-information.service.gov.uk
Prophane VICTOR;Prophane Victor;Masculino;Não identificado;—;Nenhum perfil público verificável, sanção ou cargo reconhecido encontrado.
Manuel Helder VIEIRA DIAS;Manuel Helder Vieira Dias Junior;Masculino;Angola;Ex-oficial do governo;"Sancionado pelos EUA em dezembro de 2021 por apropriação de fundos estatais na Angola junto a Leopoldino Fragoso do Nascimento em esquemas bilionários de infraestrutura fictícia. Também apelidado de ""Kopelipa"". U.S. Department of the TreasuryControle de Ativos EstrangeirosSANCTIONS WATCH"
Srdjan Milivoje VULOVIC;Srdjan Milivojević Vulović;Masculino;Sérvia;Politico sérvio (Presidente do Partido Democrático);"Nome aparece como “Srdjan Milivojević”; não há sanções relevantes identificadas com o sobrenome Vulović. Perfil público restrito a cargo partidário e legislativo sem controvérsias públicas. Wikipedia"
Junzheng WANG;Wang Junzheng;Masculino;China;—;"Nome típico e genérico; nenhuma informação pública relevante ou vínculo com sanções encontrado."
Mingshan WANG;Wang Mingshan;Masculino;China;Secretário do Partido Comunista em Xinjiang;Sancionado pelos EUA, Reino Unido, Canadá e UE por envolvimento direto na repressão aos uigures em Xinjiang, incluindo vigilância em massa, detenções arbitrárias e campos de reeducação.
Soe WIN;Soe Win;Masculino;Mianmar;Vice-chefe das Forças Armadas;"Parte da junta militar de Mianmar; acusado de envolvimento em golpes de Estado, repressão violenta a protestos pró-democracia e violações de direitos humanos."
Filipos WOLDEYOHANNES;Filipos Woldeyohannes;Masculino;Eritreia;Chefe de Estado-Maior das Forças de Defesa da Eritreia;Sancionado pelos EUA por liderar forças envolvidas em atrocidades durante a guerra na região de Tigray (Etiópia), incluindo massacres, estupros e destruição de comunidades.
Yingjie WU;Wu Yingjie;Masculino;China;Ex-secretário do Partido Comunista no Tibete;Responsável por implementar políticas repressivas contra tibetanos, incluindo restrições religiosas, vigilância em larga escala e detenções arbitrárias. Ligado também à repressão em Xinjiang.
Sultan ZABIN;Zabin, Sultan;Masculino;Iêmen;Chefe da Divisão de Investigação Criminal de Sanaa (Houthi);Sancionado por liderar abusos sistemáticos de direitos humanos no Iêmen, incluindo sequestros, tortura e violência sexual contra mulheres opositoras do regime Houthi.
Andrei Andreevich ZADACHIN;Zadachin, Andrei Andreevich;Masculino;Rússia;Procurador;Envolvido no processo judicial contra cidadão dos EUA Robert Shonov por “cooperação com um Estado estrangeiro”. Citado por repressão a opositores e instrumentalização da justiça russa.
Shohrat ZAKIR;Zakir, Shohrat;Masculino;China;Ex-governador de Xinjiang;Teve papel central na repressão aos uigures em Xinjiang. Sanções dos EUA e aliados ocidentais por envolvimento em crimes contra a humanidade, como detenções em massa e doutrinação política forçada.
Aung Kyaw ZAW;Zaw, Aung Kyaw;Masculino;Mianmar;General / Oficial da junta militar;Parte das Forças Armadas de Mianmar, envolvido em ações violentas contra civis e movimentos democráticos. Aponta-se envolvimento em massacres e repressão pós-golpe de 2021.
Hongbo ZHANG;Zhang Hongbo;Masculino;China;Oficial do Partido;"Nome genérico com múltiplos homônimos; não foi possível confirmar envolvimento específico em ações ilegais ou sanções. Pode haver sobreposição com outros perfis não verificados."
Ilko Dimitrov ZHELYAZKOV;Zhelyazkov, Ilko Dimitrov;Masculino;Bulgária;Ex-oficial de segurança nacional;Sancionado pelos EUA sob o Global Magnitsky por envolvimento em corrupção sistêmica ao lado de Delyan Peevski, incluindo subornos e esquemas para controle de residência e passaportes falsificados.
Hailun ZHU;Zhu Hailun;Masculino;China;Ex-secretário do Partido Comunista em Xinjiang;Sancionado pelos EUA, Reino Unido, Canadá e União Europeia por ser um dos principais arquitetos da repressão aos uigures em Xinjiang. Atuou como responsável pela estruturação dos “campos de reeducação” e pelo aparato de vigilância em massa. Foi vice-secretário do Comitê do Partido em Xinjiang e chefe da Comissão de Assuntos Políticos e Legais da região. Figura central nas políticas de detenção arbitrária e assimilação forçada.
Xinrong ZHUO;Zhuo Xinrong;Masculino;China;Empresário do setor pesqueiro;Proprietário da empresa Dalian Ocean Fishing Co., Ltd., incluído em listas de sanções por envolvimento em práticas de pesca ilegal, não declarada e não regulamentada (INN). Investigado por abusos contra trabalhadores migrantes e impactos ambientais. A empresa foi listada pelos EUA em 2021.
